age,xco2,xco2_16pc,xco2_84pc
3161.92,460.681165410006,430.088288723879,492.24474277543
3163.14,404.166209037104,378.011601616538,430.774398109377
3171.554932,478.153559657664,445.975438361441,511.66763158757
3179.787109,404.203064896439,377.700992636993,431.363638564776
3181.53,345.052870090944,322.428207134152,368.001019454805
3185.27,382.835875626331,358.001313051333,408.083869268473
3186.41,557.624613317611,518.484584110393,598.39349874354
3189.189941,301.909823177294,281.746409800212,322.475493789754
3190.83,446.561995071571,415.523744901783,479.0546509458
3195.95,494.681126255639,461.78461235224,528.794722840906
3198.729248,351.27578584155,327.407860563294,375.956938848952
3202.88,390.25226918258,365.130630136653,415.565919384257
3205.3,494.881381236372,459.618787652151,531.535588450896
3208.31,415.612401130138,387.562132778038,444.698084297849
3209.375244,347.423173843555,322.827971371728,373.086328720134
3211.02,443.782788072107,413.136410076586,475.86634559825
3216.14,399.232030210796,372.471844364207,426.857018170964
3220.06,445.544005220711,413.888040036886,478.465890475799
3223.98,432.842214277493,402.753155452342,464.352197802488
3224.604492,398.765241283034,371.400195369551,427.35229201519
3230.61,484.17233371767,451.315283539245,518.578717201847
3233.02,344.290853022749,320.530329990569,369.028598239224
3236.04,417.978696820203,389.53299464428,447.607754453846
3239.885986,447.993123148982,408.353831623281,489.972449075087
3242.925293,375.216923700684,349.991355526363,401.256871955904
3245.811768,337.301206075306,314.930949927331,360.078007183235
3247.82,440.517715141431,410.482439601417,471.923171722914
3248.518,368.800029574076,323.554699659434,373.116369501172
3254.13,407.026258772134,379.31479463398,435.855975037313
3259.577881,369.492027363205,341.165850636242,399.307206963981
3260.77,423.03717410256,393.398309718379,454.018927360081
3268.07,401.001779546393,374.867628615571,427.670697545417
3270.168457,388.45207751559,356.43570736564,422.116388754253
3278.7,444.673883658224,414.264406460126,476.480583575947
3280.600586,333.445454081424,310.810162020045,356.839169825426
3286.67,345.648679643593,322.99085090268,368.640114776073
3290.24,405.651205160883,376.93746444757,435.610989541338
3293.11,340.101758725912,317.898582193037,362.645665701087
3296.43,445.370027740756,415.103537755304,476.937937489968
3299.45,427.528621214082,398.648207312542,457.52637869842
3302.61,528.306062918207,492.671538182927,565.596668571892
3304.12,474.729919525484,443.154024850442,507.388274294088
