age_tuned,ISOBENbinned_d13Ccount,ISOBENbinned_d13C,ISOBENbinned_d13Cinterp,ISOBENbinned_d18Ocount,ISOBENbinned_d18O,ISOBENbinned_d18Ointerp,ISOBENd13cLOESSsmooth,ISOBENd18oLOESSsmooth,ISOBENLOESSsmooth_pts,ISOBENd13cLOESSsmoothLongTerm,ISOBENd18oLOESSsmoothLongTerm,ISOBENLOESSsmooth_pts
0.118,1,-0.310000002384185,-0.310000002384185,1,4.36999988555908,4.36999988555908,-0.31555423,4.3886666,10pts smooth,-0.56641406,4.5342216,500pts smooth
0.12,3,-0.223333330824971,-0.223333330824971,3,4.37666654586792,4.37666654586792,-0.15977977,4.2591891,10pts smooth,-0.56562221,4.5330524,500pts smooth
0.122,2,0.00500000268220901,0.00500000268220901,2,4.00999999046325,4.00999999046325,-0.1375134,4.0427647,10pts smooth,-0.56482434,4.5318928,500pts smooth
0.124,4,-0.0899999993853271,-0.0899999993853271,4,3.82999998331069,3.82999998331069,-0.17318369,3.8296928,10pts smooth,-0.5640204,4.5307436,500pts smooth
0.126,3,-0.470000011225541,-0.470000011225541,3,3.71666669845581,3.71666669845581,-0.28444871,3.6619427,10pts smooth,-0.56321025,4.5296044,500pts smooth
0.128,4,-0.407500000670552,-0.407500000670552,4,3.51249998807907,3.51249998807907,-0.43432817,3.6232145,10pts smooth,-0.56239378,4.5284758,500pts smooth
0.13,4,-0.417499996721744,-0.417499996721744,4,3.72750002145767,3.72750002145767,-0.58972085,3.929467,10pts smooth,-0.56157088,4.5273571,500pts smooth
0.132,3,-0.846666653951009,-0.846666653951009,3,4.25666658083597,4.25666658083597,-0.71998429,4.3384776,10pts smooth,-0.56074154,4.5262489,500pts smooth
0.134,3,-0.883333325386047,-0.883333325386047,3,5.096666653951,5.096666653951,-0.77608472,4.7804055,10pts smooth,-0.55990809,4.5251503,500pts smooth
0.136,2,-0.78499998152256,-0.78499998152256,2,5.22499990463256,5.22499990463256,-0.80569184,5.1665936,10pts smooth,-0.55907315,4.5240612,500pts smooth
0.138,1,-0.689999997615814,-0.689999997615814,1,5.19999980926513,5.19999980926513,-0.77372062,5.2987719,10pts smooth,-0.55823702,4.5229816,500pts smooth
0.14,1,-0.720000028610229,-0.720000028610229,1,5.30000019073486,5.30000019073486,-0.78549898,5.2798672,10pts smooth,-0.55739993,4.5219111,500pts smooth
0.142,3,-0.993333319822947,-0.993333319822947,3,5.14666668574015,5.14666668574015,-0.83185065,5.1882339,10pts smooth,-0.55656201,4.5208497,500pts smooth
0.144,1,-0.709999978542327,-0.709999978542327,1,5.19000005722045,5.19000005722045,-0.9732064,5.1120577,10pts smooth,-0.55572349,4.5197978,500pts smooth
0.146,3,-1.23999998966852,-1.23999998966852,3,4.92999998728434,4.92999998728434,-1.1089026,5.0272512,10pts smooth,-0.55488467,4.5187545,500pts smooth
0.148,4,-1.29249998927116,-1.29249998927116,4,4.95749998092651,4.95749998092651,-1.1912798,4.9627218,10pts smooth,-0.55404574,4.5177202,500pts smooth
0.15,2,-1.14499998092651,-1.14499998092651,2,5.00999999046325,5.00999999046325,-1.2184916,4.9177289,10pts smooth,-0.55320692,4.516695,500pts smooth
0.152,1,-1.0900000333786,-1.0900000333786,1,4.73000001907348,4.73000001907348,-1.0768688,4.9172239,10pts smooth,-0.55236834,4.5156789,500pts smooth
0.154,2,-1.03000003099441,-1.03000003099441,2,5.06500005722045,5.06500005722045,-0.89924949,4.9201384,10pts smooth,-0.55153036,4.5146713,500pts smooth
0.156,3,-0.723333323995272,-0.723333323995272,3,4.94666671752929,4.94666671752929,-0.7422114,4.9005952,10pts smooth,-0.55069315,4.5136719,500pts smooth
0.158,2,-0.405000001192092,-0.405000001192092,2,4.77999997138977,4.77999997138977,-0.65799761,4.8770728,10pts smooth,-0.5498569,4.5126815,500pts smooth
0.16,2,-0.974999994039535,-0.974999994039535,2,4.84999990463256,4.84999990463256,-0.85839474,4.8396654,10pts smooth,-0.54902184,4.5116997,500pts smooth
0.162,3,-0.656666673719883,-0.656666673719883,3,4.8033332824707,4.8033332824707,-1.0809802,4.7995563,10pts smooth,-0.54818821,4.5107265,500pts smooth
0.164,1,-1.85000002384185,-1.85000002384185,1,4.80000019073486,4.80000019073486,-1.1143847,4.7682791,10pts smooth,-0.54735619,4.5097613,500pts smooth
0.166,0,,-1.16833334167798,0,,4.74666674931844,-1.0960552,4.7398129,10pts smooth,-0.54652601,4.5088048,500pts smooth
0.168,3,-0.486666659514109,-0.486666659514109,3,4.69333330790201,4.69333330790201,-0.9949851,4.7099252,10pts smooth,-0.54569799,4.5078559,500pts smooth
0.17,2,-0.830000028014183,-0.830000028014183,2,4.66000008583068,4.66000008583068,-0.87445074,4.6943054,10pts smooth,-0.54487222,4.5069156,500pts smooth
0.172,1,-1.14999997615814,-1.14999997615814,1,4.71999979019165,4.71999979019165,-0.88279265,4.7182145,10pts smooth,-0.54404896,4.5059834,500pts smooth
0.174,2,-1.05500000715255,-1.05500000715255,2,4.75,4.75,-0.92573088,4.749043,10pts smooth,-0.54322851,4.5050588,500pts smooth
0.176,1,-0.439999997615814,-0.439999997615814,1,4.84999990463256,4.84999990463256,-0.88550621,4.7634311,10pts smooth,-0.54241091,4.5041423,500pts smooth
0.178,1,-1.24000000953674,-1.24000000953674,1,4.69999980926513,4.69999980926513,-0.84297645,4.7762084,10pts smooth,-0.54159659,4.5032339,500pts smooth
0.18,2,-0.639999970793724,-0.639999970793724,2,4.77500009536743,4.77500009536743,-0.92032897,4.8060884,10pts smooth,-0.54078561,4.5023332,500pts smooth
0.182,2,-1.03999999165535,-1.03999999165535,2,4.81999993324279,4.81999993324279,-0.98901743,4.8235207,10pts smooth,-0.53997827,4.50144,500pts smooth
0.184,0,,-1.01250000298023,0,,4.82749998569488,-0.92396992,4.8097048,10pts smooth,-0.5391748,4.5005546,500pts smooth
0.186,2,-0.985000014305114,-0.985000014305114,2,4.83500003814697,4.83500003814697,-0.81797415,4.7520418,10pts smooth,-0.53837538,4.4996762,500pts smooth
0.188,1,-0.449999988079071,-0.449999988079071,1,4.6599998474121,4.6599998474121,-0.65720469,4.5927854,10pts smooth,-0.53758019,4.498806,500pts smooth
0.19,3,-0.456666676948467,-0.456666676948467,3,4.23333326975504,4.23333326975504,-0.50149643,4.408381,10pts smooth,-0.5367896,4.4979429,500pts smooth
0.192,2,-0.575000017881393,-0.575000017881393,2,4.32500004768371,4.32500004768371,-0.46601373,4.2481737,10pts smooth,-0.53600365,4.497087,500pts smooth
0.194,2,-0.315000003203749,-0.315000003203749,2,4.0550000667572,4.0550000667572,-0.46694183,4.107162,10pts smooth,-0.53522265,4.4962382,500pts smooth
0.196,3,-0.633333348979552,-0.633333348979552,3,4.05666669209798,4.05666669209798,-0.47601789,4.0079312,10pts smooth,-0.53444684,4.4953971,500pts smooth
0.198,4,-0.412499994039535,-0.412499994039535,4,3.94249999523162,3.94249999523162,-0.47830218,3.9370379,10pts smooth,-0.53367645,4.4945626,500pts smooth
0.2,0,,-0.430249999836087,0,,3.88625003099441,-0.44655421,3.9066479,10pts smooth,-0.5329116,4.4937353,500pts smooth
0.202,5,-0.448000005632638,-0.448000005632638,5,3.8300000667572,3.8300000667572,-0.38271901,3.9023957,10pts smooth,-0.53215259,4.4929152,500pts smooth
0.204,2,-0.274999998509883,-0.274999998509883,2,3.99000012874603,3.99000012874603,-0.25166494,3.9271624,10pts smooth,-0.53139961,4.4921017,500pts smooth
0.206,0,,-0.0999999991618096,0,,3.9750000834465,-0.088454202,3.9460614,10pts smooth,-0.53065294,4.4912949,500pts smooth
0.208,2,0.0750000001862645,0.0750000001862645,2,3.96000003814697,3.96000003814697,0.045024034,3.9621613,10pts smooth,-0.52991271,4.4904947,500pts smooth
0.21,1,0.189999997615814,0.189999997615814,1,3.92000007629394,3.92000007629394,0.042909663,3.9566557,10pts smooth,-0.52917922,4.4897013,500pts smooth
0.212,0,,-0.0350000038743019,0,,3.93999999761581,-0.0065618977,3.9418495,10pts smooth,-0.52845263,4.4889145,500pts smooth
0.214,2,-0.260000005364418,-0.260000005364418,2,3.95999991893768,3.95999991893768,-0.079894945,3.9147017,10pts smooth,-0.52773321,4.4881344,500pts smooth
0.216,0,,-0.161666669572393,0,,3.90166662136713,-0.18393061,3.888118,10pts smooth,-0.52702111,4.4873605,500pts smooth
0.218,3,-0.0633333337803681,-0.0633333337803681,3,3.84333332379659,3.84333332379659,-0.3005079,3.8389485,10pts smooth,-0.52631664,4.4865928,500pts smooth
0.22,3,-0.560000002384185,-0.560000002384185,3,3.81333327293396,3.81333327293396,-0.42328811,3.8313773,10pts smooth,-0.52561998,4.4858317,500pts smooth
0.222,0,,-0.620000004768371,0,,3.91416668891906,-0.60081774,3.968534,10pts smooth,-0.52493131,4.4850764,500pts smooth
0.224,2,-0.680000007152557,-0.680000007152557,2,4.01500010490417,4.01500010490417,-0.73706049,4.1566997,10pts smooth,-0.52425092,4.4843273,500pts smooth
0.226,4,-0.79000000655651,-0.79000000655651,4,4.54499989748001,4.54499989748001,-0.6586628,4.3960743,10pts smooth,-0.523579,4.4835844,500pts smooth
